id,legacy_partner_source,legacy_partner_id,name,legacy_partner_name,legacy_credit_code,legacy_tax_no,phone,email,customer_rank,supplier_rank
1842,cooperat_company,037d4f99b26f4538a4c74bfda62bc19d,四川源生传媒有限公司,四川源生传媒有限公司,J6580006289201,J6580006289201,,,1,1
1824,cooperat_company,0c1aec8143e646f6a8b31d6509d4a9fc,莎车县川翔建筑设备租赁站,莎车县川翔建筑设备租赁站,92653125MA79FRBQ67,92653125MA79FRBQ67,,,1,1
1836,cooperat_company,0fb092ac00644182a2d99f5ab3da5ba6,什邡环艺苗木专业合作社,什邡环艺苗木专业合作社,93510682MA6BGLRC2C,93510682MA6BGLRC2C,,,1,1
1843,cooperat_company,1e06d84b299348efab32da8eee003e41,德阳蔚楠建筑安装有限公司,德阳蔚楠建筑安装有限公司,J6580006342301,J6580006342301,,,1,1
1845,cooperat_company,2ea30869bf704669aef14b1a181fc272,什邡市顺源通商贸有限责任公司,什邡市顺源通商贸有限责任公司,什邡市顺源通商贸有限责任公司,什邡市顺源通商贸有限责任公司,,,1,1
1849,cooperat_company,34c6eb70faa940f7bb2409f953611f8b,重庆辰煌建材有限公司,重庆辰煌建材有限公司,重庆辰煌建材有限公司,重庆辰煌建材有限公司,,,1,1
1825,cooperat_company,412c1eb65968434887a9815cf779e54c,莎车县鑫鼎源建材厂,莎车县鑫鼎源建材厂,92653125MABTKWPE31,92653125MABTKWPE31,,,1,1
1840,cooperat_company,44ed9dfc58e94e85933a4c556701b7d6,成都嘉时贸易发展有限公司,成都嘉时贸易发展有限公司,9I510107777478679C,9I510107777478679C,,,1,1
1839,cooperat_company,4b2bb0104cb5440bb197432137ffe1fd,中江县南华镇缆天下五金建材经营部,中江县南华镇缆天下五金建材经营部,9510623MA67Q06X40,9510623MA67Q06X40,,,1,1
1832,cooperat_company,534fe9f3def34e9797a2f7ad1dde1131,塔什库尔干前波建材销售经营店,塔什库尔干前波建材销售经营店,92653131MACWJXBU77,92653131MACWJXBU77,,,1,1
1826,cooperat_company,5707c35faff44d9f95dd7d95ca9b467e,莎车县雅景建材店,莎车县雅景建材店,92653125MACFPX0B9X,92653125MACFPX0B9X,,,1,1
1821,cooperat_company,574f91760e6c4a3bb07e6755291fd999,英吉沙县林冠苗木经营部（个体工商户）,英吉沙县林冠苗木经营部（个体工商户）,92653123MADGYQYR9L,92653123MADGYQYR9L,,,1,1
1829,cooperat_company,8730ed53b1784c0f997a922428f3f829,岳普湖县景鑫建筑建材租赁站,岳普湖县景鑫建筑建材租赁站,92653128MA78Q00Y7U,92653128MA78Q00Y7U,,,1,1
1848,cooperat_company,8c1b032f39384e0e9baa959df7cdc001,德阳朗润建材有限公司,德阳朗润建材有限公司,德阳朗润建材有限公司,德阳朗润建材有限公司,,,1,1
1822,cooperat_company,90159f7e20f149b59bcc7508d0e70090,英吉沙县铭诺五金建材经营部（个体工商户),英吉沙县铭诺五金建材经营部（个体工商户),92653123MADH9TPM3L,92653123MADH9TPM3L,,,1,1
1837,cooperat_company,95c4efb0db574b9695530d8834201b25,什邡环艺苗木种植专业合作社,什邡环艺苗木种植专业合作社,93510682MAA 6BGL2C,93510682MAA 6BGL2C,,,1,1
1830,cooperat_company,9cc6e476fea749b3b8608118995e28a7,伽师县和顺电工电料灯饰大全,伽师县和顺电工电料灯饰大全,92653129MA77BHFK15,92653129MA77BHFK15,,,1,1
1846,cooperat_company,abd0039eee914daaa109ad0909fc7aa9,喀什市佳佰祺商行,喀什市佳佰祺商行,喀什市佳佰祺商行,喀什市佳佰祺商行,,,1,1
1847,cooperat_company,ad927f8bd3b848a08bd1cae680254bce,德阳旌汇项目管理有限公司,德阳旌汇项目管理有限公司,德阳旌汇项目管理有限公司,德阳旌汇项目管理有限公司,,,1,0
1844,cooperat_company,bba4f60ac91b448abba202695e142d0e,德阳经开区鑫嘉益工程咨询服务部(个体工商户),德阳经开区鑫嘉益工程咨询服务部(个体工商户),J6580006496301,J6580006496301,,,1,1
1831,cooperat_company,c35fd6860f4b411485ea2c0180c27062,巴楚县盾欣消防设备经营部,巴楚县盾欣消防设备经营部,92653130MA78UP8H9B,92653130MA78UP8H9B,,,1,1
