write_design_id,proposed_action,legacy_partner_source,legacy_partner_id,partner_name,tax_number,tax_number_policy,dedup_key_type,dedup_key,sources,source_row_count,merge_strategy,customer_flag,supplier_flag,rollback_key_source,rollback_key_legacy_id,source_dry_run_row_no,db_write
partner_l4_missing_tax_duplicate_group_0001,create_merged_partner_without_tax_number,cooperat_company,7620e052f0ca4d13aa12a5013d40c591,上海建业信息科技股份有限公司,,allowed_blank_by_user_policy,exact_name,上海建业信息科技股份有限公司,company,2,merge_by_exact_name,true,false,cooperat_company,7620e052f0ca4d13aa12a5013d40c591,19,false
partner_l4_missing_tax_duplicate_group_0002,create_merged_partner_without_tax_number,cooperat_company,3373797eb3b64dee890de9ca210570cc,中交一公局海威工程建设有限公司,,allowed_blank_by_user_policy,exact_name,中交一公局海威工程建设有限公司,company,2,merge_by_exact_name,true,false,cooperat_company,3373797eb3b64dee890de9ca210570cc,42,false
partner_l4_missing_tax_duplicate_group_0003,create_merged_partner_without_tax_number,cooperat_company,119e3bb58e0d41e6892d645e9c27926c,中仪国际招标有限公司,,allowed_blank_by_user_policy,exact_name,中仪国际招标有限公司,company,6,merge_by_exact_name,true,false,cooperat_company,119e3bb58e0d41e6892d645e9c27926c,45,false
partner_l4_missing_tax_duplicate_group_0004,create_merged_partner_without_tax_number,cooperat_company,27af3fdab1a541888120f261ac87d78e,中国人民解放军陆军特色医学中心,,allowed_blank_by_user_policy,exact_name,中国人民解放军陆军特色医学中心,company,2,merge_by_exact_name,true,false,cooperat_company,27af3fdab1a541888120f261ac87d78e,80,false
partner_l4_missing_tax_duplicate_group_0005,create_merged_partner_without_tax_number,company_supplier,15354c616f5046169ee325fd62f4c4b1,中国人民财产保险股份有限公司德阳市分公司,,allowed_blank_by_user_policy,exact_name,中国人民财产保险股份有限公司德阳市分公司,company;supplier,3,merge_by_exact_name,true,true,company_supplier,15354c616f5046169ee325fd62f4c4b1,83,false
partner_l4_missing_tax_duplicate_group_0006,create_merged_partner_without_tax_number,cooperat_company,317dfb0a49914aedbc71a4784b85e282,中国平安财产保险股份有限公司天津分公司,,allowed_blank_by_user_policy,exact_name,中国平安财产保险股份有限公司天津分公司,company,4,merge_by_exact_name,true,false,cooperat_company,317dfb0a49914aedbc71a4784b85e282,108,false
partner_l4_missing_tax_duplicate_group_0007,create_merged_partner_without_tax_number,cooperat_company,269D7E9D1400424683B5F4E04C1B1A06,中国建筑一局（集团）有限公司,,allowed_blank_by_user_policy,exact_name,中国建筑一局（集团）有限公司,company,2,merge_by_exact_name,true,false,cooperat_company,269D7E9D1400424683B5F4E04C1B1A06,110,false
partner_l4_missing_tax_duplicate_group_0008,create_merged_partner_without_tax_number,cooperat_company,9D598AA886B8493D8143D98EF587F685,中国建筑第八工程局有限公司,,allowed_blank_by_user_policy,exact_name,中国建筑第八工程局有限公司,company,2,merge_by_exact_name,true,false,cooperat_company,9D598AA886B8493D8143D98EF587F685,111,false
partner_l4_missing_tax_duplicate_group_0009,create_merged_partner_without_tax_number,cooperat_company,4e1beb51a1024c5381a64cc72dcb47df,中国建筑第六工程局有限公司,,allowed_blank_by_user_policy,exact_name,中国建筑第六工程局有限公司,company,2,merge_by_exact_name,true,false,cooperat_company,4e1beb51a1024c5381a64cc72dcb47df,112,false
partner_l4_missing_tax_duplicate_group_0010,create_merged_partner_without_tax_number,cooperat_company,099cc4630a5b49d09cb90f70ed8144b3,中国建筑第四工程局有限公司,,allowed_blank_by_user_policy,exact_name,中国建筑第四工程局有限公司,company,2,merge_by_exact_name,true,false,cooperat_company,099cc4630a5b49d09cb90f70ed8144b3,113,false
