legacy_header_id,document_no,project_legacy_id,project_name,supplier_name,line_rows,line_amount,reason
7cd4cbf55a6d42d79f2593ddd4d3e91d,JXTB-20231003-006,eb14bf937d704385be6d6c968b71bac5,万润苑改造项目,旌阳区德新镇创新机械租赁部,0,0,missing_legacy_lines
8094d71ab3614edfbde1a99abd24cceb,JXTB-20231003-002,eb14bf937d704385be6d6c968b71bac5,万润苑改造项目,旌阳区忠明工程机械设备租赁服务部,0,0,missing_legacy_lines
45f14ff35f1a40c4bb2166b24d215adb,JXTB-20231003-007,eb14bf937d704385be6d6c968b71bac5,万润苑改造项目,旌阳区德新镇创新机械租赁部,0,0,missing_legacy_lines
19f30abfbdf545a98b80c4a0dfa31117,JXTB-20231003-008,eb14bf937d704385be6d6c968b71bac5,万润苑改造项目,旌阳区德新镇创新机械租赁部,0,0,missing_legacy_lines
1d1bdadd0c42491aa92199ae0ea3c77f,JXTB-20231003-009,eb14bf937d704385be6d6c968b71bac5,万润苑改造项目,旌阳区德新镇创新机械租赁部,0,0,missing_legacy_lines
e5d3a684b68b47eb9d83291f726e8694,JXTB-20231003-003,eb14bf937d704385be6d6c968b71bac5,万润苑改造项目,旌阳区忠明工程机械设备租赁服务部,0,0,missing_legacy_lines
b0ac2d6f058b4a2985f05ed842712270,JXTB-20231003-010,eb14bf937d704385be6d6c968b71bac5,万润苑改造项目,旌阳区忠明工程机械设备租赁服务部,0,0,missing_legacy_lines
0e5b2d9d7be641148788f7d4e377b5ef,JXTB-20231003-011,eb14bf937d704385be6d6c968b71bac5,万润苑改造项目,旌阳区德新镇创新机械租赁部,0,0,missing_legacy_lines
eb0501b77f5646708e4950fe392663cd,JXTB-20231003-012,eb14bf937d704385be6d6c968b71bac5,万润苑改造项目,旌阳区德新镇创新机械租赁部,0,0,missing_legacy_lines
4c19918f180d4592b19c2175c8806f03,JXTB-20231008-001,eb14bf937d704385be6d6c968b71bac5,万润苑改造项目,旌阳区忠明工程机械设备租赁服务部,0,0,missing_legacy_lines
6b32cea37b824948ae4c3cb592209011,JXTB-20231008-002,eb14bf937d704385be6d6c968b71bac5,万润苑改造项目,旌阳区忠明工程机械设备租赁服务部,0,0,missing_legacy_lines
eb386df5821a41c1a64008250f31b512,JXTB-20231008-004,eb14bf937d704385be6d6c968b71bac5,万润苑改造项目,旌阳区德新镇创新机械租赁部,0,0,missing_legacy_lines
92dd595553f740be9e3f60a12442627b,JXTB-20231008-005,eb14bf937d704385be6d6c968b71bac5,万润苑改造项目,旌阳区德新镇创新机械租赁部,0,0,missing_legacy_lines
7ca46614c6cd49ad9c914f8e62c30dfd,JXTB-20231008-003,eb14bf937d704385be6d6c968b71bac5,万润苑改造项目,旌阳区忠明工程机械设备租赁服务部,0,0,missing_legacy_lines
0f7fcfb0ac854b1e9301c107fa026112,JXTB-20231008-006,eb14bf937d704385be6d6c968b71bac5,万润苑改造项目,旌阳区德新镇创新机械租赁部,0,0,missing_legacy_lines
57c09b22e1b446bcb40ac558951516a6,JXTB-20231008-007,7fa974d0bc674fb48bd98beaad6825ab,测试3.0名称123,租租赁,0,0,missing_legacy_lines
8a59ab5f258e47519094ad7335b9198f,JXTB-20231009-001,eb14bf937d704385be6d6c968b71bac5,万润苑改造项目,旌阳区忠明工程机械设备租赁服务部,0,0,missing_legacy_lines
