id,legacy_project_id,name,lifecycle_state,phase_key,sc_execution_state,stage_id,owner_id,location,boq_line_count,contract_count,request_count,ledger_count,receipt_count,expense_count,invoice_count,loan_count,fund_count
523,abee105af4f140e9a3596ff620d771d5,"{""en_US"": ""界石围栏采购项目""}",in_progress,execution,in_progress,6,,,0,5,15,6,1,0,2,0,0
524,ad19ad5cd2244aa4830302b0c8a545b8,"{""en_US"": ""罗江区集中办公区食堂项目""}",in_progress,execution,in_progress,6,,,0,1,6,2,2,0,1,0,0
525,ad21c497c9cd46f29dcf11deb58d2e0b,"{""en_US"": ""旌南大厦12楼办公场所装修项目""}",in_progress,execution,in_progress,6,,,0,21,69,27,6,0,18,0,0
526,ad660cc6918646d8a94fe5ff0f0fccc5,"{""en_US"": ""德阳市旌阳区医养结合中心及精神病院区建设项目国防电缆通信线路迁改工程""}",in_progress,execution,in_progress,6,,,0,2,5,2,1,0,3,0,0
527,ad7fbdddb4114548a9b6e547bba0821d,"{""en_US"": ""违法建（构）筑物拆除工程施工协议""}",in_progress,execution,in_progress,6,,,0,1,14,3,4,0,9,0,0
530,ade530f935bc4134a288b363dddb4b49,"{""en_US"": ""国网新疆喀什供电公司110kV一明线接地网大修等2项工程""}",in_progress,execution,in_progress,6,,,0,2,4,1,2,0,7,0,0
531,ae12c308edb84f0aad945e6a9017eb35,"{""en_US"": ""乐山嘉洋科技发展有限公司车间净化装修工程""}",in_progress,execution,in_progress,6,,,0,10,124,57,4,0,11,1,0
532,aec263c51c77406b9e1cbdae1cde27eb,"{""en_US"": ""德阳文德湖屿树花园项目总承包工程大区土方开挖分包合同""}",in_progress,execution,in_progress,6,,,0,3,23,8,6,0,9,0,0
533,af285b99ff1d4d829aa2ff13843f76a3,"{""en_US"": ""常宜高速公路CY-CZ1承台墩柱1标工程""}",in_progress,execution,in_progress,6,,,0,0,1,0,0,0,1,0,0
534,b011d38f5f2a43d6acfe6cb196f70d8f,"{""en_US"": ""中江县“8.16”渠道水毁修复工程""}",in_progress,execution,in_progress,6,,,0,5,22,8,3,8,4,0,0
535,b024fdce92fc4c7d9a196718ad0734a8,"{""en_US"": ""德阳站综合交通枢纽改造项目桥梁地下室主体结构工程""}",in_progress,execution,in_progress,6,,,0,1,1,0,1,0,1,0,0
536,b02b08e025ab4b038d764e0525b2e64b,"{""en_US"": ""健康骑游道铺装劳务""}",in_progress,execution,in_progress,6,,,0,0,0,0,0,4,0,0,0
537,b032b1d023394264bea8890d30a6f16e,"{""en_US"": ""中江县杏花路道路建设工程施工""}",in_progress,execution,in_progress,6,,,0,0,1,0,1,4,2,0,0
538,b04092bf64244df4ba3e3d8888115d68,"{""en_US"": ""中国移动四川公司德阳分公司2021-2022年渠道维修采购项目框架协议""}",in_progress,execution,in_progress,6,,,0,10,29,11,3,0,7,0,0
539,b155837db59c42d9a3eccff2df5bfad8,"{""en_US"": ""黄猫垭园区建设工程劳务分包""}",in_progress,execution,in_progress,6,,,0,1,3,1,1,0,6,0,0
540,b17db7c3d7814760a0b0710bf88bef0d,"{""en_US"": ""树木移栽合同""}",in_progress,execution,in_progress,6,,,0,1,0,0,0,0,0,0,0
542,b259e293688c4bfb866ab5e190275273,"{""en_US"": ""2021年11月1日-2023年10月31日期间学校安排的防水维修项目和应急处理""}",in_progress,execution,in_progress,6,,,0,1,0,0,0,2,0,0,0
543,b30548069e964194aca239afd9b34d82,"{""en_US"": ""中国移动四川分公司南充片区2018-2020年渠道零星维修项目（标包9）""}",in_progress,execution,in_progress,6,,,0,3,25,8,6,0,10,0,0
544,b3f527d6f80c45498a54241c44fee03b,"{""en_US"": ""罗江区2020年暴雨洪灾水毁修复9个工程施工分包单位及单价补充协议书""}",in_progress,execution,in_progress,6,,,0,2,24,7,4,0,4,0,0
545,b46d0ef2c882487aae2e2858aed634e2,"{""en_US"": ""重庆工业职业技术学院""}",in_progress,execution,in_progress,6,,,0,0,23,7,0,0,0,0,0
546,b4d056223bda427d8dff39113334ef37,"{""en_US"": ""【广清城际轨道交通项目（花都段）安置区工程（狮岭镇前进安置区）一期施工总承包】项目【市政道路】工程专业分包""}",in_progress,execution,in_progress,6,,,0,43,332,149,20,24,25,9,0
547,b5ee8bfd20284bcd84383b0764db24fb,"{""en_US"": ""理塘碧桂园项目""}",in_progress,execution,in_progress,6,,,0,1,36,12,1,0,6,0,0
548,b653753feab74ec1baf2be1b531a5d99,"{""en_US"": ""成都（北部商城）西部国际家电交易中心1#楼及地下室""}",in_progress,execution,in_progress,6,,,0,4,16,5,5,0,2,1,0
549,b68df914cf3b47b888e43028b1057da1,"{""en_US"": ""德新镇污水处理厂及污水收集主管网建设（德新镇污水处理厂工程）""}",in_progress,execution,in_progress,6,,,0,0,0,0,0,3,0,0,0
550,b69a287978ee4573b1b21768e3868581,"{""en_US"": ""德阳市旌阳区中医院门诊综合大楼项目及住院综合大楼项目""}",in_progress,execution,in_progress,6,,,0,1,3,1,1,0,1,0,0
551,b6cc0a037a2643c18ed61e593250ec3a,"{""en_US"": ""旌阳区孝感镇灵庙村2017年节水型社会重点县建设项目""}",in_progress,execution,in_progress,6,,,0,0,10,3,3,0,6,0,0
552,b79f8cb44d6045c1869f6bb575b5e77e,"{""en_US"": ""绵阳市安州区人民检察院智慧检察系统Ⅴ期办案工作区土建项目""}",in_progress,execution,in_progress,6,,,0,4,15,5,3,0,6,0,0
553,b7c7e4c229024786b30ee5bec6d0ad9b,"{""en_US"": ""国网新疆电力有限公司阿勒泰供电公司省管产业单位2024年第一次服务类区域联合授权框架招标采购""}",in_progress,execution,in_progress,6,,,0,0,3,1,0,0,0,0,0
554,b7f07bc4b72c4cd29b5d1b445b499386,"{""en_US"": ""工程学院零星项目""}",in_progress,execution,in_progress,6,,,0,154,523,165,75,40,126,0,0
555,b98aa16d7a9d42e3a7eb8dbbe2907651,"{""en_US"": ""德阳市绵远河西岸生态整治工程（青衣江路-牡丹江路）""}",in_progress,execution,in_progress,6,,,0,1,3,1,1,0,2,0,0
556,b9f1ea27e66c41fba95cb7573c425073,"{""en_US"": ""重庆市璧山区璧泉街道老旧小区改造配套基础设施（南关社区）（第二次）""}",in_progress,execution,in_progress,6,,,0,6,30,9,2,0,8,0,0
557,baeda23eedeb4f788ea28c0d60af1904,"{""en_US"": ""西藏军区工程建设项目临时器材库和装备库建设项目（2302项目）""}",in_progress,execution,in_progress,6,,,0,1,0,0,0,0,0,0,0
558,bb0ccbdd806d4c49b287d32ffb70ebff,"{""en_US"": ""城南壹号·熙悦府（一期）专业分包包2安装工程""}",in_progress,execution,in_progress,6,,,0,28,69,31,6,0,6,0,0
