external_id,name,company_type,is_company,legacy_partner_id,legacy_partner_source,legacy_partner_name,legacy_credit_code,legacy_tax_no,legacy_source_evidence
legacy_partner_sc_010b599c75be41b3a0ddb4dc07facc22,重庆市南川区交通运输委员会,company,1,010b599c75be41b3a0ddb4dc07facc22,cooperat_company,重庆市南川区交通运输委员会,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_01219d47384b4ce89c813fe068671767,重庆市九龙坡区华岩镇人民政府,company,1,01219d47384b4ce89c813fe068671767,cooperat_company,重庆市九龙坡区华岩镇人民政府,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_012cc1690acf4cf7892ed3e2603c7677,四川省交通建设集团有限责任公司,company,1,012cc1690acf4cf7892ed3e2603c7677,cooperat_company,四川省交通建设集团有限责任公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_014189e76b1746c1ae4aec5a65033814,德阳华润燃气有限公司,company,1,014189e76b1746c1ae4aec5a65033814,cooperat_company,德阳华润燃气有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_01BC90A4E9DA45368A99BA46B57733FD,仁寿县富加镇人民政府,company,1,01BC90A4E9DA45368A99BA46B57733FD,cooperat_company,仁寿县富加镇人民政府,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_01fffa7989ea48f0b37e85878c350f80,莎车县住房和城乡建设局,company,1,01fffa7989ea48f0b37e85878c350f80,cooperat_company,莎车县住房和城乡建设局,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_021c3886541e4515bb8377ca3e65d9f8,德阳市自来水公司,company,1,021c3886541e4515bb8377ca3e65d9f8,cooperat_company,德阳市自来水公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_0227f9af47894ca8a3be5547b0f80cd7,德阳市中恒重工机械有限公司,company,1,0227f9af47894ca8a3be5547b0f80cd7,cooperat_company,德阳市中恒重工机械有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_0263dea130b6471db64885c8ba259bb9,德阳市永成机械厂,company,1,0263dea130b6471db64885c8ba259bb9,cooperat_company,德阳市永成机械厂,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_026839DB3B204BE28828C8DA12F0B092,德阳市旌阳区黄许镇卫生院（有误）,company,1,026839DB3B204BE28828C8DA12F0B092,cooperat_company,德阳市旌阳区黄许镇卫生院（有误）,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_02d21d9e43a047489db27a026c15e091,德阳宏泰盛源实业有限公司,company,1,02d21d9e43a047489db27a026c15e091,cooperat_company,德阳宏泰盛源实业有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_0314be9ce8d546fe879b50ba72faafa6,德阳市元安物业有限公司,company,1,0314be9ce8d546fe879b50ba72faafa6,cooperat_company,德阳市元安物业有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_0488d95a24b1453888283df4697c5de4,重庆市益康环保工程有限公司,company,1,0488d95a24b1453888283df4697c5de4,cooperat_company,重庆市益康环保工程有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_04917A51E9F64E318A09532F68E4AC8B,德阳市旌阳区孝感街道金马村村民委员会,company,1,04917A51E9F64E318A09532F68E4AC8B,cooperat_company,德阳市旌阳区孝感街道金马村村民委员会,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_04f414b64b574bfb8ddd2f182f31161e,广汉市悦弘文旅有限责任公司德阳分公司,company,1,04f414b64b574bfb8ddd2f182f31161e,cooperat_company,广汉市悦弘文旅有限责任公司德阳分公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_04f5e213957640a5956745f87ac81ac5,德阳市旌阳区人民法院,company,1,04f5e213957640a5956745f87ac81ac5,cooperat_company,德阳市旌阳区人民法院,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_062420f967c846b9bdd446d11c1f717d,成都秦川物联网科技股份有限公司,company,1,062420f967c846b9bdd446d11c1f717d,cooperat_company,成都秦川物联网科技股份有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_069E35D50F9A450E86A1DCF587ADFC27,成都七天四季投资管理有限公司德阳文庙广场店,company,1,069E35D50F9A450E86A1DCF587ADFC27,cooperat_company,成都七天四季投资管理有限公司德阳文庙广场店,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_0702d4fba99740fbb13ef7257a0c1c8a,四川圆规酒店管理有限公司,company,1,0702d4fba99740fbb13ef7257a0c1c8a,cooperat_company,四川圆规酒店管理有限公司,91510600MA6923CT9P,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_078A0ED6585341779F27890B42AEACFB,广元市朝天区沙河镇人民政府,company,1,078A0ED6585341779F27890B42AEACFB,cooperat_company,广元市朝天区沙河镇人民政府,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_07ccebac69384cc8a87e22d86c26f15e,中江县水利局,company,1,07ccebac69384cc8a87e22d86c26f15e,cooperat_company,中江县水利局,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_0867ABF0E4CA4A80BB7ADF62D45F8A80,石柱土家族自治县水利工程服务站,company,1,0867ABF0E4CA4A80BB7ADF62D45F8A80,cooperat_company,石柱土家族自治县水利工程服务站,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_08748a8a4a134be6bd7dbcbe1d159645,德阳市旌创建设工程有限公司,company,1,08748a8a4a134be6bd7dbcbe1d159645,cooperat_company,德阳市旌创建设工程有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_08eef0947b3e41c3b482e17130364cf6,四川卓远企业征信咨询有限公司,company,1,08eef0947b3e41c3b482e17130364cf6,cooperat_company,四川卓远企业征信咨询有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_08fb496d3ce0479c85388fd2716cd0ad,中铁十九局集团第三工程有限公司,company,1,08fb496d3ce0479c85388fd2716cd0ad,cooperat_company,中铁十九局集团第三工程有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_099e49da9412408587b4991246456104,中国人民财产保险股份有限公司德阳市分公司,company,1,099e49da9412408587b4991246456104,company_supplier,中国人民财产保险股份有限公司德阳市分公司,,91510600905107283F,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo
legacy_partner_sc_0A00E140687C485D990B1A93C850FAFF,国营川西机械厂,company,1,0A00E140687C485D990B1A93C850FAFF,cooperat_company,国营川西机械厂,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
legacy_partner_sc_0A3124836B7540B48360A9A48C4F4D8C,四川省中江实验中学,company,1,0A3124836B7540B48360A9A48C4F4D8C,cooperat_company,四川省中江实验中学,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany
