id,name
4831,中共英吉沙县委员会组织部
4832,中国人寿财产保险股份有限公司德阳市中心支公司
4833,中国人民解放军 32167 部队
4834,中国人民解放军 95696 部队
4835,中国人民解放军32166部队
4836,中国人民解放军32167部队
4837,中国人民解放军32329部队
4838,中国人民解放军77561部队
4839,中国人民解放军77626部队
4840,中国人民解放军陆军军医大学
4841,中国人民解放军陆军第九五〇医院
4842,中国华西企业股份有限公司
4843,中国工程物理研究所电子工程研究所
4844,中国工程物理研究院激光聚变研究中心
4845,中国核工业中原建设有限公司
4846,中国水利水电第六工程局有限公司
4847,中国水利水电第四工程局有限公司
4848,中国移动通信集团四川有限公司
4849,中国移动通信集团四川有限公司乐山分公司
4850,中国移动通信集团四川有限公司南充分公司
4851,中国移动通信集团四川有限公司天府新区分公司
4852,中国移动通信集团四川有限公司广元分公司
4853,中建二局第二建筑工程有限公司
4854,中建四局第一建设有限公司
4855,中江凯兴建设投资有限公司
4856,中江县殡仪馆
4857,中江县辑庆镇尖寨村股份经济合作联合社
4858,中铁一局集团铁路建设有限公司
4859,中铁八局集团有限公司
4860,中铁十九局集团有限公司
4861,中铁十八局集团有限公司
4862,中铁十八局集团有限公司巴中恩阳临港产业园项目经理部
4863,二重德阳储能科技有限公司
4864,二重集团(德阳)精衡传动设备有限公司
4865,二重（德阳）重型装备有限公司
4866,伟宸建设集团有限公司
4867,保利长大工程有限公司
4868,四川山水美地农业投资有限公司
4869,四川建筑职业技术学院
4870,四川建设发展股份有限公司
4871,四川昌意兴建筑劳务有限公司
4872,四川汉南供水有限公司
4873,四川省东方兴发建设集团有限公司
4874,四川省华地建设工程有限责任公司
4875,四川省商贸学校
4876,四川省德阳市人民检察院
4877,四川省第四建筑有限公司
4878,四川省第四建筑有限公司德阳云峰山路分公司
4879,四川省绵阳外国语学校
4880,四川纹江致远建筑开发工程有限公司
4881,四川自贡汇东发展股份有限公司
4882,国网新疆电力有限公司喀什供电公司
4883,国营川西机器厂
4884,塔什库尔干塔吉克自治县交通运输局
4885,山东创杰智慧装备科技有限公司
4886,广汉市金轮镇人民政府
4887,德阳二重新业建筑工程有限责任公司
4888,德阳农村商业银行股份有限公司
4889,德阳发展控股集团有限公司
4890,德阳国信建设工程有限公司
4891,德阳大参林投资有限公司
4892,德阳市人民医院
4893,德阳市住房保障和房地产事务中心
4894,德阳市供水安装工程队
4895,德阳市元安物业有限公司
4896,德阳市旌创建设工程有限公司
4897,德阳市旌阳区德新镇人民政府
4898,德阳市潺亭水务有限公司
4899,德阳市罗江区综合行政执法局
4900,德阳市自来水公司
4901,德阳旌信物业服务股份有限公司
4902,德阳经开建设工程有限公司
4903,德阳经开物业管理有限公司
4904,德阳高新发展有限公司
4905,拉萨市柳梧新区管理委员会
4906,新疆维吾尔自治区喀什地区大数据局
4907,特变电工（德阳）电缆股份有限公司
4908,生猪技术创新中心（重庆）
4909,眉山环天建设工程集团有限公司
4910,绵竹市金申建筑有限公司
4911,绵阳市游仙区魏城镇竹柳村村民委员会
4912,绵阳皓华光电科技有限公司
4913,苍溪县兴苍建设有限公司
4914,西藏华泰龙矿业开发有限公司
4915,重庆巴驿公共交通站场管理有限公司
4916,重庆市南岸区城市管理局
4917,重庆市固体废弃物运输有限公司
4918,重庆市城投路桥管理有限公司
4919,重庆市永川区水利站
4920,重庆市渝北区双龙水库管理所
4921,重庆市铜梁区太平镇人民政府
4922,重庆机场集团有限公司
4923,重庆机场集团有限公司航空物流园发展分公司
4924,金阳县交通运输局
4925,青海省玉树公路路政执法支队
