row_no,decision,reason,legacy_partner_source,legacy_partner_id,partner_name,tax_number,normalized_tax_number,dedup_key_type,dedup_key,sources,source_row_count,merge_strategy,blockers,recommended_next_task
3837,same_tax_company_supplier_canonical_merge_review,tax_format_usable,company_supplier,34fe309e873340c9a1f98801097b1941,梅州市南粤道路工程有限公司,914414246924545208,914414246924545208,tax_number,914414246924545208,company;supplier,2,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,same_tax_company_supplier_canonical_merge_review
3851,same_tax_company_supplier_canonical_merge_review,tax_format_usable,company_supplier,2e46db8f95414cb28763525d0131f9ce,中山市樱花美涂涂装工程有限公司,9144200058630182XE,9144200058630182XE,tax_number,9144200058630182XE,company;supplier,3,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,same_tax_company_supplier_canonical_merge_review
3868,same_tax_company_supplier_canonical_merge_review,tax_format_usable,company_supplier,bbc8a2c7cf5442ebb860cd9fb9c7cda5,贵港市佰森木业有限公司,91450804MA5N573W4L,91450804MA5N573W4L,tax_number,91450804MA5N573W4L,company;supplier,2,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,same_tax_company_supplier_canonical_merge_review
3918,same_tax_company_supplier_canonical_merge_review,tax_format_usable,company_supplier,261b7453c4674b31882bf8125f429d1c,重庆弘洋建筑工程质量检测有限公司,915001015889216356,915001015889216356,tax_number,915001015889216356,company;supplier,4,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,same_tax_company_supplier_canonical_merge_review
3963,same_tax_company_supplier_canonical_merge_review,tax_format_usable,company_supplier,0fb5d6a1eb034a768bd16f23e6472dd4,重庆意鼎机械租赁有限公司,91500105MAC80LHE6N,91500105MAC80LHE6N,tax_number,91500105MAC80LHE6N,company;supplier,4,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,same_tax_company_supplier_canonical_merge_review
3979,same_tax_company_supplier_canonical_merge_review,tax_format_usable,company_supplier,e54b049b199f4566b802aa4bfb9d7c80,重庆森鼎木业有限公司,91500106MA601PYP2F,91500106MA601PYP2F,tax_number,91500106MA601PYP2F,company;supplier,2,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,same_tax_company_supplier_canonical_merge_review
3986,same_tax_company_supplier_canonical_merge_review,tax_format_usable,company_supplier,2f7ecb1f2a4f49fdbad5255e8521a6d6,重庆图南供应链有限公司,91500106MA7N8AEE5U,91500106MA7N8AEE5U,tax_number,91500106MA7N8AEE5U,company;supplier,3,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,same_tax_company_supplier_canonical_merge_review
3995,same_tax_company_supplier_canonical_merge_review,tax_format_usable,company_supplier,9e9dcf1d1a0e413ca8a4f0afde7ea5b1,重庆腾建筑劳务有限公司,91500107050356937F,91500107050356937F,tax_number,91500107050356937F,company;supplier,5,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,same_tax_company_supplier_canonical_merge_review
4042,same_tax_company_supplier_canonical_merge_review,tax_format_usable,company_supplier,c9f42ad783c04a33973f56f89c260d6a,重庆鸿辰环保科技有限公司,91500107MA60LEK835,91500107MA60LEK835,tax_number,91500107MA60LEK835,company;supplier,2,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,same_tax_company_supplier_canonical_merge_review
4067,same_tax_company_supplier_canonical_merge_review,tax_format_usable,company_supplier,f877c0b3aaa84ed98411961df95cab1d,重庆汇尔固机电设备有限公司,91500108MA60BFUBX6,91500108MA60BFUBX6,tax_number,91500108MA60BFUBX6,company;supplier,2,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,same_tax_company_supplier_canonical_merge_review
6618,same_tax_manual_conflict_screen,tax_format_unusable,company_supplier,6ca6b3a0222e4c24818bdc1362505181,旌阳区厚道五金建材经营部,92510603MA64MA64WNN057,92510603MA64MA64WNN057,tax_number,92510603MA64MA64WNN057,company;supplier,2,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,same_tax_manual_conflict_screen
3894,tax_normalization_screen,tax_has_spacing_or_wrappers,company_supplier,a24f2ee727614d44becf41aa505f6995,重庆机场集团有限公司,91500000756 209971P,91500000756209971P,tax_number,91500000756 209971P,company;supplier,2,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,tax_normalization_screen
6443,tax_normalization_screen,tax_has_spacing_or_wrappers,company_supplier,452f38fe0f8d4d01b8fcd5caa609f4c0,德阳市区湘邵建材劳保防水材料经营部,92510600MA623AWN57(1-1),92510600MA623AWN5711,tax_number,92510600MA623AWN57(1-1),company;supplier,2,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,tax_normalization_screen
6445,tax_normalization_screen,tax_has_spacing_or_wrappers,company_supplier,359c3a25812645e69f04d96ad27afbbc,德阳市区四叶草泰升防水建材经营部,92510600MA623C5W20（1-1）,92510600MA623C5W2011,tax_number,92510600MA623C5W20（1-1）,company;supplier,2,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,tax_normalization_screen
