legacy_project_id,legacy_parent_id,name,short_name,project_environment,legacy_company_id,legacy_company_name,legacy_specialty_type_id,specialty_type_name,legacy_price_method,business_nature,detail_address,project_profile,project_area,legacy_is_shared_base,legacy_sort,legacy_attachment_ref,project_overview,legacy_project_nature,legacy_is_material_library,other_system_id,other_system_code
4797240705544506a61fe48f4331e6dc,17102122078870000,四川省德阳市2012-2013年中小河流水文监测系统新建水文站-站房工程,,,1,四川保盛建设集团有限公司,440001,水利工程,1,联营,,,,0,,1c0ba6ccc4e20733e8693c501482d6b0,,,,142340,17104040970470000
47ed9576f8bb462c8d3092603084f690,17114160278150000,西藏军区工程建设项目临时器材库和装备库建设项目（2302项目）.,,,570,保盛重庆分公司,390001,房建工程,1,联营,,,,0,,45b428760c4f5505adb49ca195d241dc,,,,,
485a8ffc95b04691b30085b2d0207339,17549891105000000,生产线及生活区区防水工程,,,1,四川保盛建设集团有限公司,390001,房建工程,1,联营,,,,1,,dfbbb089f841a77e93c9e3d0a675fa1f,,,,224478,17554790980620000
4860c86d34c74e858db90a3e7940327b,10863,德阳市旌阳区八角井镇卫生院-各类设施零星维护管理,,正式项目,1,四川保盛建设集团有限公司,390001,房建工程,0,联营,,,,0,668,8be02e72cb9a4e6784dd750bfe2dedf4,,,,109377,16982984772270000
4a4ed31a48164cee80671c16275f4ad7,10511,何埂小学新建综合楼、食堂及运动场工程,,正式项目,1,四川保盛建设集团有限公司,9920001,房建工程,1,联营,,,,0,320,fa084a9df88c486f9218368624a69ba4,,,,109675,16982985734140001
4ab6f7c219e2421fa998d1d575ee8496,10845,三标段旌湖路（秦岭山路至峨眉山南路）10kv下地改造工程,,正式项目,1,四川保盛建设集团有限公司,450001,劳务工程,0,联营,,,,0,650,8b91dcd644974892accdba64d30ac430,,,,109394,16982984793370000
4ac61c70932e4dfa870ddf06ed5b36d2,17216184437180000,建工五建——科发泰升人和——装饰装修2专业分包,,,571,保盛绵阳分公司,420001,装修装饰,0,联营,,,,0,,4e36a221a89ae0a6e90ba91ef0536dda,,,,176758,17216184492490000
4ad2dea566464eba8851e0dd675d1583,10463,布拖县2016年—2019年安全住房地质隐患应急抢险项目,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,271,2ea9de78df164baaba510c857cbc16ae,,,,109714,16982985782730001
4ae5c8869c02493bb691c66b26fcba3b,10581,德阳新城吾悦广场商业及住宅整期建设工程维修工程,,正式项目,1,四川保盛建设集团有限公司,9920001,房建工程,1,联营,,,,0,389,a23af6cdb2da4903932b618ad2461cf4,,,,109613,16982985653820001
4b7a21220a1040129a798b604acdf5f1,10269,全国新增1000亿斤粮食生产能力安居区2018年田间工程建设项目二标段,1000亿斤粮食-安居区,正式项目,141,四川保盛建设集团有限公司,3310001,水利工程,1,联营,,,,0,121,dd99f5a1b15c4631bea3875be253b5ed,,,,109838,16982986243970000
4b868719ff8e43fbaf928e79f4aabf0c,10641,四川建筑职业技术学院西区运动场舞台工程,,正式项目,1,四川保盛建设集团有限公司,9430001,装饰装修,1,联营,,,,0,449,d32f71b68ed4447ba3af958b980e21f0,,,,109560,16982985586480001
