row_no,proposed_action,target_model,target_company_type,target_customer_rank,target_supplier_rank,target_tax_number_policy,legacy_partner_source,legacy_partner_id,legacy_partner_name,legacy_source_evidence,future_rollback_key,design_blocker
33,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,cae6beff6c0a43e98dfb4ecc2da8c90f,东方电气（德阳）电动机技术有限责任公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:cae6beff6c0a43e98dfb4ecc2da8c90f,
36,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,ac1c1b6a825d46909171cffb38774cb4,东莞市三拓建材有限公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:ac1c1b6a825d46909171cffb38774cb4,
37,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,892f958521eb4204bed798709723b0b9,东莞市木辛电子商务有限公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:892f958521eb4204bed798709723b0b9,
41,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,0d29d2037c634c0bb0066cd6513d426f,个体沈心国,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:0d29d2037c634c0bb0066cd6513d426f,
43,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,2181cdf76e36494ca0db673843376844,中交一公局海威工程建设有限公司珠峰文化旅游创意产业园区基础设施建设项目一期工程第三标段项目部,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:2181cdf76e36494ca0db673843376844,
44,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,40ac25b717f64ca1a0788db9b948dd1a,中交一公局集团有限公司珠峰文化旅游创意产业园区基础设施建设项目一期工程第三标段项目部,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:40ac25b717f64ca1a0788db9b948dd1a,
46,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,c0086452823340249b5a8543fbc26d56,中保共创(福建)融资担保有限公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:c0086452823340249b5a8543fbc26d56,
47,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,fbbdfe8150d44f479029436c73611862,中信银行,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:fbbdfe8150d44f479029436c73611862,
49,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,7edc0366851243f496270d99ef782457,中冶天工集团有限公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:7edc0366851243f496270d99ef782457,
50,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,c2febb377ad74491b397cdccb67f3c6b,中华人民共和国国家金库峨边彝族自治县支库,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:c2febb377ad74491b397cdccb67f3c6b,
