id,legacy_project_id,name,lifecycle_state,stage_id,stage_name,other_system_id,other_system_code
2137,092bc953078b42ab89b7a9d07fecab66,德阳市罗江区自来水公司2019年12月至2020年11月管网安装（抢修）零星土石方开挖恢复及用工等外包,draft,5,筹备中,109750,16982985829450001
2138,0a098ceefc5046c380028104a3caa2af,中建天投天河区育新街南侧AT0304011-1地块项目,draft,5,筹备中,,
2139,0b3b88a05d6d454b9cbbe6b4c3c342d5,岳普湖县防沙治沙电力配套设施建设项目,draft,5,筹备中,261151,17723318707090000
2140,0c028a6f51ea4e728448ce29b1e2eaab,南川区S531西龙路K18+800-K27+230日常维修养护工程（换填、边沟）项目,draft,5,筹备中,181031,17286088295120000
2141,339f28c8a4a44c5bb33e1c9d7ab1ff30,某部队年度零星工程建设项目,draft,5,筹备中,238619,17653373301080000
2142,c4fd674a84cc4c2bbeae55d8207443ce,堆龙德庆区乃琼亲子公园建设项目,draft,5,筹备中,223777,17543643079500000
2143,e27eae2a90224ae1a7a6025b4dded66d,龙江大酒店装修改造项目,draft,5,筹备中,109385,16982984782270000
2144,09a62a54dcf645d6b7030d40fbdac1cb,林芝市财富阳光建设项目消防工程,draft,5,筹备中,109688,16982985750230001
2145,09ba719dfd18431a951ec77d29ea6194,焙浸车间硫酸罐区防腐项目工程,draft,5,筹备中,214321,17493534527250000
2146,0bb1dac8c9a94e39b421b3a619491c1f,公司综合管理平台,draft,5,筹备中,,
2147,0c4f914eee3547c185a2108fc1f768df,太行山路（钱塘江路-信江路）道路工程水泥稳定基层施工专业分包,draft,5,筹备中,109654,16982985708670001
2148,0c8c213e89204a6fb61a4c8ac79f0d4a,二重厂西路（华山路-衡山路）等4条路砂石工程专业分包,draft,5,筹备中,109363,16982984755550001
2149,0cdd82e96265456494a1de15f36c433e,何埂小学生化池及室外污水管网,draft,5,筹备中,109583,16982985614760001
2150,0d21826a7ebb4dbfb7317338baaf57a0,重庆文理学院2025年附属工程项目(不可预测的零星维修工程),draft,5,筹备中,223773,17543642802930000
2151,0dac2896cb43443eaaf4d5247683a40b,2025年西南石油工程公司钻前主体工程劳务框架招标（6标段：罗江、黄许等地区）项目,draft,5,筹备中,212778,17468599323600000
