counterparty_text,normalized_name,contract_rows,match_type,recommended_action,manual_confirm_required,auto_create_allowed,existing_partner_hint,company_candidate_count,supplier_candidate_count,source,source_id,source_name,source_short_name,source_code,source_address,source_contact,source_phone,confirm_result,confirmed_partner_action,confirmed_source,confirmed_source_id,review_note
德阳国信建设工程有限公司,德阳国信建设工程,6,company_multiple,manual_select_company_candidate,yes,no,no,3,0,company,26d6e57ce1ac4394926a2776d5932391,德阳国信建设工程有限公司,,,,,,,,,,
德阳方兴建设有限责任公司,德阳方兴建设,6,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,FF1FB27380DB4791B057B918A2AB1133,德阳方兴建设有限责任公司,,,,,,,,,,
四川新众建筑加固工程有限公司,四川新众建筑加固工程,6,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,E5C471B8007B4F9481863EE6FE1A4372,四川新众建筑加固工程有限公司,,,,,,,,,,
中铁十八局集团有限公司巴中恩阳临港产业园项目经理部,中铁十八局集团有限公司巴中恩阳临港产业园项目经理部,6,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,BEE0150FCC934C1BA1E766303846DC24,中铁十八局集团有限公司巴中恩阳临港产业园项目经理部,,,,,,,,,,
中铁十九局集团有限公司,中铁十九局,6,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,2244f8ba357a4d63b6217a2904102558,中铁十九局集团有限公司,,,,,,,,,,
四川致远锂业有限公司,四川致远锂业,6,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,b3a8413ea57040cf91984e22ba261d21,四川致远锂业有限公司,,,,,,,,,,
二重集团（德阳）精衡传动设备有限公司,二重集团德阳精衡传动设备,5,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,9D6B41A957AE4B89A5C371493F46FFE6,二重集团（德阳）精衡传动设备有限公司,,,,,,,,,,
德阳市旌创建设工程有限公司,德阳市旌创建设工程,5,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,08748a8a4a134be6bd7dbcbe1d159645,德阳市旌创建设工程有限公司,,,,,,,,,,
中铁十八局集团有限公司,中铁十八局,5,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,9d04bff9ac15462e98252a7916b0e505,中铁十八局集团有限公司,,,,,,,,,,
布拖县基只乡（镇）人民政府,布拖县基只乡镇人民政府,5,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,0C329C94CFD44DC9A864273490221743,布拖县基只乡（镇）人民政府,,,,,,,,,,
中国第二重型机械集团德阳万路运业有限公司,中国第二重型机械集团德阳万路运业,4,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,608B77A96BEA467D9CC65621CE53E20B,中国第二重型机械集团德阳万路运业有限公司,,,,,,,,,,
中国铁建大桥工程局集团有限公司旌阳区城市地下综合管廊建设项目经理部,中国铁建大桥工程局集团有限公司旌阳区城市地下综合管廊建设项目经理部,4,defer,manual_supply_partner_candidate,yes,no,no,0,0,,,,,,,,,,,,,
