legacy_contract_id,legacy_project_id,subject,type,legacy_contract_no,legacy_document_no,legacy_external_contract_no,legacy_status,legacy_deleted_flag,legacy_counterparty_text,partner_name,partner_legacy_source,partner_legacy_id,recovery_family
4512209014a642b78248b2bde9d5d60c,1da16136281c46fc9fb1d3038e68f983,石船镇农村公路（关兴村）井环路堡坎修复工程,out,CQS2025-146,WBHTGL-20250908-001,17572994790920000,2,0,渝北区石船镇人民政府,重庆市渝北区石船镇人民政府,cooperat_company,f9a7f16fae674681bea98fe3fb33a41f,partner_master_replay_gap_4
79cbbc5a225f4f969a92492118ca0cec,6a00ac86acbb4ac1a7474b917f5f5bf6,石船镇农村公路护栏修复工程,out,CQS2025-43,WBHTGL-20250401-001,17434703068510000,2,0,渝北区石船镇人民政府,重庆市渝北区石船镇人民政府,cooperat_company,f9a7f16fae674681bea98fe3fb33a41f,partner_master_replay_gap_4
890368a538e1403dbe8d2adc29df0ee2,d2fbb60741f64cd99c82017452a54663,2024 年新疆后峡南区块 2 口井土地复垦项目,out,XJ2024-65,WBHTGL-20240409-004,17126551733400000,2,0,中石油煤层气有限责任公司,中石油煤层气有限责任公司新疆项目经理部,cooperat_company,858F0CED8D424DB985154C5EDC30B1C5,partner_master_replay_gap_4
dbdf8862fe914a25b93f65398c9b7bbc,3a2e0ff623244bde8579b35b0c53afad,龙泉驿区第六中学维修改造工程,out,CDS2021-75,WBHTGL-20210908-001,1000000502,2,,成都市龙泉驿区第六中学,成都市龙泉驿区第六中学校,cooperat_company,648EA61D5BBF42768F35F4BE7BCF935B,partner_master_replay_gap_4
19481c190e6747f4bb600c5c562a55bc,8c4d70aba64643968392105d93c77f4b,2025年度零星维修服务项目,out,CQS2025-237,WBHTGL-20251229-002,17669967591530000,2,0,中国人民解放军32036部队,中国人民解放军32038部队,cooperat_company,bf6a3f3440394de28c3728980930304d,strong_evidence_promotion_gap_19
1b212fc98390446a9799344382bfed21,6b4e37cd90a94055a69de211efdab846,热处理厂卷扬机基础施工,out,DYS2025-98,WBHTGL-20250704-002,17516090324820000,2,0,德阳市明德炉业有限公司,二重（德阳）重型装备有限公司,cooperat_company,eb39e14be2434a5fbdb033d2098103de,strong_evidence_promotion_gap_19
1d2cb08808a84a32b220095c57ca3928,85a4017a9c604e0391500307328339fb,G5京昆高速公路绵阳至成都段扩容项目TJ4标段项目部驻地房屋恢复装修合同,out,DYS2025-12,WBHTGL-20250123-001,17375962682990000,2,0,四川省交通建设集团有限责任公司G5京昆高速公路绵阳至成都段扩容项目TJ4标段项目部(下简称:成绵TJ4项目部),四川省交通建设集团有限责任公司,cooperat_company,012cc1690acf4cf7892ed3e2603c7677,strong_evidence_promotion_gap_19
2412fe6aadc64c699e639e3c677b2c76,e91ab58b0d264ccaba5f9356ad85ae44,西部(重庆)科学城保障性住房(一期)室外综合管网、景观、绿化、围 墙、精装修及标识标牌系统工程,out,CQS2025-177,WBHTGL-20251020-001,17609419878980000,2,0,重庆科学城高新置业有限公司（项目业主）、重庆科学城城市建设集团有限公司（代理业主）,重庆科学城高新置业有限公司,cooperat_company,1477b28fe29c48c09d0eb39846d63552,strong_evidence_promotion_gap_19
244b71e59c284777afa594b7155865c7,9bd11b5b52694523b3eecb0ccf6c3c04,重庆轨道交通15号线一期土建工程01标金童路站2B出入口 DN500 给水管道迁改工程,out,CQS2024-56,WBHTGL-20240401-001,17119378379720000,2,0,中铁北京工程局集团有限公司重庆轨道交通15号线项目经理部,中铁广州工程局集团有限公司,cooperat_company,36fa74bc7bab4bde99e79ccc10cb431a,strong_evidence_promotion_gap_19
28862cb1f3ba40c6b78adb7960bbe7f6,28b43ef4516445d8a54326b977288fba,补充协议,out,CQS2024-98-2,WBHTGL-20250210-001,17391536088750000,2,0,重庆市璧山区人民政府青杠街道办事处,重庆市璧山区青杠街道产业发展服务中心,cooperat_company,4e3c5fb319494c2d8f1708307bf3765f,strong_evidence_promotion_gap_19
