id,legacy_contract_id,name,type,state,target_state,project_id,partner_id,company_id,amount_total,request_count,line_count,audit_count,approved_audit_count
5221,b545170413db4fa38bc3548298f3e8a4,CONOUT2603741,in,running,running,255,3491,1,135600.0,0,1,3,3
5222,b548a6965658482c9ed69800c42bfd00,CONOUT2603742,in,confirmed,confirmed,728,2657,1,6707.68,0,0,3,3
5223,b553ec2551d04fdc81cf69e68bdffc1b,CONOUT2603743,in,running,running,414,5257,1,61279.34,0,1,2,2
5224,b5609f8ebf604e0b92ebebf2d1e4a908,CONOUT2603744,in,running,running,16,4757,1,1553750.0,0,1,3,3
5225,b566417d196a4cb7aa4188f45db69dd1,CONOUT2603745,in,running,running,505,4954,1,313857.5,0,3,3,3
5226,b59cbcb14c754b86b5e8b86d236bc452,CONOUT2603746,in,running,running,80,4979,1,10211.36,0,1,2,2
5227,b5a80802e56a4c619fb13676816afb59,CONOUT2603747,in,confirmed,confirmed,304,5863,1,0.0,0,0,2,2
5228,b5b9016f7eaf4201b0ee9547168aa373,CONOUT2603748,in,confirmed,confirmed,713,781,1,7367.6,0,0,2,2
5229,b5b99a5abbf143dc9d7108af0fd4b073,CONOUT2603749,in,running,running,149,1009,1,56048.0,0,1,3,3
5230,b5bd2fe1711f4d8c89cf267c2e97ef38,CONOUT2603750,in,running,running,251,281,1,8949.6,0,1,2,2
5231,b5d3d66d996f41dcbc2f7952f39195ac,CONOUT2603751,in,running,running,690,5145,1,146900.0,0,1,3,3
5232,b5d9928139784ce59e39a3a2bffc9c6c,CONOUT2603752,in,confirmed,confirmed,457,1038,1,0.0,0,0,3,3
5233,b5da676b4a794094b5e12a88728ef4e3,CONOUT2603753,in,confirmed,confirmed,189,2689,1,142380.0,0,0,5,5
5234,b5ddb739c7e44e82a9857c7855db7d7b,CONOUT2603754,in,confirmed,confirmed,279,2704,1,16950.0,0,0,2,2
5235,b5e263df961a497dabd6aad9f6275f98,CONOUT2603755,in,confirmed,confirmed,673,141,1,113000.64,0,0,4,4
5236,b5e58fecb2cd490f8a284c2dbb5b8bbc,CONOUT2603756,in,running,running,204,1588,1,19863.14,0,1,2,2
5237,b5e6191b51e9489c85618000b9c74157,CONOUT2603757,in,confirmed,confirmed,673,2475,1,0.0,0,0,3,3
5238,b5e7c9b85a3b47d980bb75761daeb661,CONOUT2603758,in,running,running,115,3658,1,159601.2,0,2,2,2
5239,b5ee92de9b2b4d88ad7f7a36ae9220fe,CONOUT2603759,in,running,running,626,2842,1,470859.7,0,6,3,3
