coverage_state,legacy_material_id,material_name,spec_model,uom_text,line_rows,header_rows,qty,amount,target_material_catalog_id,target_catalog_name,target_spec_model,target_uom_text,exact_text_catalog_id,exact_text_match_count,name_spec_catalog_id,name_spec_match_count,has_promoted_product
catalog_ready_by_legacy_id,0d84fe22cdfb4701974263bc0e5a7c58,硅酸盐水泥,32.5号散装,吨,3,1,613.8927,231502.35,6840725,硅酸盐水泥,32.5号散装,吨,6840725,1,6840725,1,no
catalog_ready_by_legacy_id,6c2044e8f159487e927b1a26ed069afa,块石,200mm800mm,m3,1,1,1580.0400,229105.80,6840726,块石,200mm800mm,m3,6840726,1,6840726,1,no
catalog_ready_by_legacy_id,6d988117d2814453be1c61e5472ca076,京式护栏,1.0m*3.0m；护栏80*80*3；横梁40*60*3；竖杆16圆*1.5厚；两边扁铁5.0厚；11个弯弧（厚度±0.2）,m,1,1,1063.0000,226419.00,6840727,京式护栏,1.0m*3.0m；护栏80*80*3；横梁40*60*3；竖杆16圆*1.5厚；两边扁铁5.0厚；11个弯弧（厚度±0.2）,m,6840727,1,6840727,1,no
catalog_ready_by_legacy_id,e1df2b9fe13642e997f5446f5c8cf72c,钢筋HRB400E,Φ14,吨,1,1,59.3420,224312.76,6840728,钢筋HRB400E,Φ14,吨,6840728,1,6840728,1,no
catalog_ready_by_legacy_id,d11f5feb164d4ca79c91d51daadd4534,盘螺HRB400E,Φ8E,吨,2,2,55.1900,218000.50,6840729,盘螺HRB400E,Φ8E,吨,6840729,1,6840729,1,no
catalog_ready_by_legacy_id,c1db75831a4d4b2b9856fc57a80b53f3,花岗石芝麻黑马蹄石,100*100*50,平方米,5,3,1228.4000,214970.00,6840730,花岗石芝麻黑马蹄石,100*100*50,平方米,6840730,1,6840730,2,no
catalog_ready_by_legacy_id,0621825e114149dfad13b39d6015f4fd,砂石,自然砂,吨,5,5,3379.7000,214065.10,6840731,砂石,自然砂,吨,6840731,1,6840731,1,no
catalog_ready_by_legacy_id,f40f89a339c243f88c1bd24511dbe91a,非固化橡胶沥青防水涂料,20kg,kg,1,1,15134.0000,211876.00,6840732,非固化橡胶沥青防水涂料,20kg,kg,6840732,1,6840732,1,no
catalog_ready_by_legacy_id,24446409da884e1fb465fcc3972b491c,仿芝麻灰烧面石英砖,300*900*20,㎡,1,1,2610.0890,210112.16,6840733,仿芝麻灰烧面石英砖,300*900*20,㎡,6840733,1,6840733,1,no
catalog_ready_by_legacy_id,277c57c920d54eab9456b52fbbe2e789,湿铺高分子膜基防水卷材(E类),1.5mm,㎡,1,1,3915.0000,203580.00,6840734,湿铺高分子膜基防水卷材(E类),1.5mm,㎡,6840734,1,6840734,1,no
