external_id,request_ref,sequence,legacy_invoice_line_id,legacy_receipt_id,legacy_invoice_id,legacy_invoice_child_id,legacy_pid,legacy_file_bill_id,invoice_no,invoice_party_name,invoice_issue_company,source_document_no,source_table_name,amount_source,invoice_amount,current_receipt_amount,invoiced_before_amount,note,idempotency_key,replay_action
legacy_receipt_invoice_line_sc_9ff54fffaf4f43e0b801eb5164098d6d,legacy_receipt_sc_77a4827ae4564504bfdf4a96a429681e,28200,9ff54fffaf4f43e0b801eb5164098d6d,77a4827ae4564504bfdf4a96a429681e,eb63e9caf60544a1b823b7f6a221f080,5db857e582744ae995ace839ef42122b,2860,,5100193130-08539084,德阳国信建设工程有限公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,290894.23,221207.33,290894.23,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=9ff54fffaf4f43e0b801eb5164098d6d; legacy_receipt_id=77a4827ae4564504bfdf4a96a429681e; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,9ff54fffaf4f43e0b801eb5164098d6d,create_if_missing
legacy_receipt_invoice_line_sc_9ff9fd8a01714008a2542516590d6c6c,legacy_receipt_sc_f232e2ce108f49e9acbc3a5b5883305b,28210,9ff9fd8a01714008a2542516590d6c6c,f232e2ce108f49e9acbc3a5b5883305b,,ade1669c39ac4833927aa1ef0de55fd8,17659585852320000,,25512000000256133536,国网新疆电力有限公司喀什供电公司,,,C_JFHKLR_CB,KPJE,244034.24,145023.89,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=9ff9fd8a01714008a2542516590d6c6c; legacy_receipt_id=f232e2ce108f49e9acbc3a5b5883305b; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,9ff9fd8a01714008a2542516590d6c6c,create_if_missing
legacy_receipt_invoice_line_sc_a014e0b5c68a4c9b8f6687bdcd37ca80,legacy_receipt_sc_5b0beced107b4a4dade37e9972409a64,28220,a014e0b5c68a4c9b8f6687bdcd37ca80,5b0beced107b4a4dade37e9972409a64,,86579b9c8ea447d09cd82305c7d052c8,17752076690390000,,26512000000534740806,重庆绿发城市建设有限公司,,,C_JFHKLR_CB,KPJE,3350000.00,490225.96,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=a014e0b5c68a4c9b8f6687bdcd37ca80; legacy_receipt_id=5b0beced107b4a4dade37e9972409a64; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,a014e0b5c68a4c9b8f6687bdcd37ca80,create_if_missing
legacy_receipt_invoice_line_sc_a014f4b524234ea89bafc4039d53a598,legacy_receipt_sc_150baa713e4c4d198747a685d9b910c3,28230,a014f4b524234ea89bafc4039d53a598,150baa713e4c4d198747a685d9b910c3,,dc76b3f79d0043548ef25bcced17dc94,17031212873830002,,23512000000094444215,德阳大参林投资有限公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,1126552.96,1126552.96,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=a014f4b524234ea89bafc4039d53a598; legacy_receipt_id=150baa713e4c4d198747a685d9b910c3; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,a014f4b524234ea89bafc4039d53a598,create_if_missing
legacy_receipt_invoice_line_sc_a02747120f824ea581954e84f31b8b91,legacy_receipt_sc_86893de6fb7e4eeca6da767f9aa49164,28240,a02747120f824ea581954e84f31b8b91,86893de6fb7e4eeca6da767f9aa49164,83fe920d20fb4a3ca18495cede4e9dd4,64836837b1894f51aa59e2b0339b59ff,2624,,04398070,中国华西企业股份有限公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,1000000.00,28186.16,922604.61,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=a02747120f824ea581954e84f31b8b91; legacy_receipt_id=86893de6fb7e4eeca6da767f9aa49164; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,a02747120f824ea581954e84f31b8b91,create_if_missing
legacy_receipt_invoice_line_sc_a02c6a81b6d340f5a8bc3a15755b1d9a,legacy_receipt_sc_637be12cda5347b69475f64a799dcbe5,28250,a02c6a81b6d340f5a8bc3a15755b1d9a,637be12cda5347b69475f64a799dcbe5,,099666d6ed254c778ef9f19e5a1022b0,17296686099330000,,23512000000038370883,中国建筑第四工程局有限公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,910000.00,91000.00,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=a02c6a81b6d340f5a8bc3a15755b1d9a; legacy_receipt_id=637be12cda5347b69475f64a799dcbe5; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,a02c6a81b6d340f5a8bc3a15755b1d9a,create_if_missing
legacy_receipt_invoice_line_sc_a02e5b38432f42289f97d3e13b6951d4,legacy_receipt_sc_fb10ee6a150f4e42991137c8153d824a,28260,a02e5b38432f42289f97d3e13b6951d4,fb10ee6a150f4e42991137c8153d824a,,e41ae542187a4bb1bbad857bfa26c859,17011569978960000,,23512000000109834442,中国移动通信集团四川有限公司眉山分公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,1107855.10,1107855.10,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=a02e5b38432f42289f97d3e13b6951d4; legacy_receipt_id=fb10ee6a150f4e42991137c8153d824a; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,a02e5b38432f42289f97d3e13b6951d4,create_if_missing
legacy_receipt_invoice_line_sc_a052b049905e494ab97967ec2ff2e932,legacy_receipt_sc_38c6f8c49f194ac298301d84cadb06dc,28270,a052b049905e494ab97967ec2ff2e932,38c6f8c49f194ac298301d84cadb06dc,,ec792d4fa16c4f9d88722a2f0dff3c63,17485114806480000,,09737622,中国建筑第四工程局有限公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,364865.34,90000.00,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=a052b049905e494ab97967ec2ff2e932; legacy_receipt_id=38c6f8c49f194ac298301d84cadb06dc; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,a052b049905e494ab97967ec2ff2e932,create_if_missing
legacy_receipt_invoice_line_sc_a053dda621f2460985744076f70009ba,legacy_receipt_sc_ae4f275653314be4a294999328847c31,28280,a053dda621f2460985744076f70009ba,ae4f275653314be4a294999328847c31,,d2a23c1047db45249c37ed09aa73a230,17709739996110001,,26512000000064870036,中国建筑第四工程局有限公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,268168.39,1039.43,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=a053dda621f2460985744076f70009ba; legacy_receipt_id=ae4f275653314be4a294999328847c31; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,a053dda621f2460985744076f70009ba,create_if_missing
legacy_receipt_invoice_line_sc_a0609a046c5c4ace9500775f939af78e,legacy_receipt_sc_9c5844dab8f440858631625f0b288c66,28290,a0609a046c5c4ace9500775f939af78e,9c5844dab8f440858631625f0b288c66,d053210c7da34889b1f55156d4f0c31a,f07d2443322f495188fedffca6c152e2,17026090090750001,,09737582,重庆巨能建设（集团）有限公司米易分公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,1000000.00,672727.98,1000000.00,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=a0609a046c5c4ace9500775f939af78e; legacy_receipt_id=9c5844dab8f440858631625f0b288c66; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,a0609a046c5c4ace9500775f939af78e,create_if_missing
