partner_id,legacy_partner_source,legacy_partner_id,name,score,score_gap,fact_refs,name_match,vat_match,customer_rank,supplier_rank
2143,xlsx_supplier_cooperat_company,credit:91431121MA4RCLTT3B,永州市智博工程有限公司,78,16,15,False,True,0,1
2917,xlsx_supplier_cooperat_company,credit:91500112MA5U9CX13R,重庆鑫亚坤新型环保建材有限公司,64,14,6,True,True,0,1
3064,xlsx_supplier_cooperat_company,credit:91500227MA60T8GJ5U,重庆市夏禾装饰工程有限责任公司,67,17,9,True,True,0,1
5211,xlsx_supplier_cooperat_company,credit:91510600MA65L5CY5Y,四川霖彬建材有限公司,65,15,7,True,True,0,1
3495,xlsx_supplier_cooperat_company,credit:91653101MADJULAF5L,新疆纵源劳务分包有限公司喀什分公司,68,18,10,True,True,0,1
5193,xlsx_supplier_cooperat_company,credit:91659003MABKYLJ68H,陕西全禾建设工程有限责任公司新疆分公司,61,16,3,True,True,0,1
4870,xlsx_supplier_cooperat_company,credit:92120104MA05QPB790,天津市南开区畅优五金销售处,61,17,3,True,True,0,1
3265,xlsx_supplier_cooperat_company,credit:92500103MAD83K3E21,渝中区浩岭五金建材经营部,61,17,3,True,True,0,1
6459,xlsx_supplier_cooperat_company,credit:92510600MA62GJ949K,德阳市区永沁建材经营部,72,14,14,True,True,0,1
469,xlsx_supplier_cooperat_company,name:中江县乐中机砖制造有限责任公司,中江县乐中机砖制造有限责任公司,36,16,8,True,False,0,1
669,xlsx_supplier_cooperat_company,name:中江县永太镇楷鑫装饰服务部,中江县永太镇楷鑫装饰服务部,35,15,7,True,False,0,1
1514,xlsx_supplier_cooperat_company,name:四川元鼎机械制造有限公司,四川元鼎机械制造有限公司,39,15,11,True,False,0,1
473,xlsx_supplier_cooperat_company,name:四川启展商贸有限公司,四川启展商贸有限公司,35,15,7,True,False,0,1
291,xlsx_supplier_cooperat_company,name:德阳市中达建筑设备租赁有限公司,德阳市中达建筑设备租赁有限公司,38,18,10,True,False,0,1
3228,xlsx_supplier_cooperat_company,name:德阳市区汪哥木材经营部,德阳市区汪哥木材经营部,39,16,11,True,False,0,1
2385,xlsx_supplier_cooperat_company,name:旌阳区富玉建材经营部,旌阳区富玉建材经营部,42,14,14,True,False,0,1
5077,xlsx_supplier_cooperat_company,name:旌阳区黄许镇建创机械租赁部,旌阳区黄许镇建创机械租赁部,39,14,11,True,False,0,1
1046,xlsx_supplier_cooperat_company,name:格尔木兴磊水泥制品厂,格尔木兴磊水泥制品厂,36,16,8,True,False,0,1
862,xlsx_supplier_cooperat_company,name:格尔木嘉实混凝土搅拌有限公司,格尔木嘉实混凝土搅拌有限公司,39,19,11,True,False,0,1
1780,xlsx_supplier_cooperat_company,name:清远市汝通运输有限公司,清远市汝通运输有限公司,38,18,10,True,False,0,1
2666,xlsx_supplier_cooperat_company,name:璧山区富有建筑机械设备租赁站,璧山区富有建筑机械设备租赁站,35,15,7,True,False,0,1
1213,xlsx_supplier_cooperat_company,name:璧山区渝跃建筑设备租赁站,璧山区渝跃建筑设备租赁站,35,15,7,True,False,0,1
1742,xlsx_supplier_cooperat_company,name:重庆刚宏鑫茂科技有限公司,重庆刚宏鑫茂科技有限公司,41,19,13,True,False,0,1
391,xlsx_supplier_cooperat_company,name:重庆启和国际物流有限公司,重庆启和国际物流有限公司,35,15,7,True,False,0,1
1183,xlsx_supplier_cooperat_company,name:重庆意鼎机械租赁有限公司,重庆意鼎机械租赁有限公司,35,15,7,True,False,0,1
133,xlsx_supplier_cooperat_company,name:重庆映锦建筑劳务有限公司,重庆映锦建筑劳务有限公司,35,15,7,True,False,0,1
917,xlsx_supplier_cooperat_company,name:重庆智辉建筑工程设备租赁有限公司,重庆智辉建筑工程设备租赁有限公司,35,15,7,True,False,0,1
2464,xlsx_supplier_cooperat_company,name:重庆腾晟建筑劳务有限公司,重庆腾晟建筑劳务有限公司,38,16,10,True,False,0,1
