legacy_contract_id,legacy_contract_amount,legacy_contract_amount_source
011757ea2fdc4c899f898555499f0e1a,87556.7800,T_GYSHT_INFO.ZJE
05d7d0f9b81d479c91cdf775836e9886,30000.0000,T_GYSHT_INFO.ZJE
096948cb1731493ba21dc4651a04f987,69300.0000,T_GYSHT_INFO.ZJE
0aadb14a2b074dc5b0588c62e0e8255d,100000.0000,T_GYSHT_INFO.ZJE
0e7f9fe4b5a54ef7ae7345a9ebeee5e7,650000.0000,T_GYSHT_INFO.ZJE
11278963561848eb9e4b4b77fa1bc83b,11800.0000,T_GYSHT_INFO.ZJE
133c8c6a271e4539a689db3a5e71c1b1,36000.0000,T_GYSHT_INFO.ZJE
139caed3c792487492417fa65d94fbbb,60000.0000,T_GYSHT_INFO.ZJE
175765b08eca49808368b82b8e29e334,20000.0000,T_GYSHT_INFO.ZJE
1a00e9085dd74b879b6a16acef2e8c86,71951.7000,T_GYSHT_INFO.ZJE
1c261e523d1f4e2fa543373276d92088,22049.0000,T_GYSHT_INFO.ZJE
1cfdc2ef1b0f40d9bb4d0a4dd585e75f,-121638.0000,T_GYSHT_INFO.ZJE
1e5e9e0bb8ce4b64b329a0ab68f9ea20,76200.0000,T_GYSHT_INFO.ZJE
2011b3ff0aa54e2d945bba505732cab0,42000.0000,T_GYSHT_INFO.ZJE
23c5e78e640045ed970c41d2cf27cce0,29300.0000,T_GYSHT_INFO.ZJE
283825c6667b445c933d70f0cf590b17,100000.0000,T_GYSHT_INFO.ZJE
2bdd49ac0d2d454881bec80c81a90712,8910.0000,T_GYSHT_INFO.ZJE
2ce3df0c954f4bbc95d0c740ba6cd1b7,46000.0000,T_GYSHT_INFO.ZJE
2cf8aba82118461f9039a1dacc1eb2d4,72000.0000,T_GYSHT_INFO.ZJE
2e315d0f996348e68c5fc9064f010535,127740.0000,T_GYSHT_INFO.ZJE
2fa636c81fe341eebce9b1da705712b8,87556.7800,T_GYSHT_INFO.ZJE
33570729ac3f4d82bcd47047b0bcabe7,20000.0000,T_GYSHT_INFO.ZJE
35235eb859514e6aa83531e5ce27a43f,20100.0000,T_GYSHT_INFO.ZJE
366cb37c55df4f90beb15bacaf92bb71,283000.0000,T_GYSHT_INFO.ZJE
375af0da72e64530ae129aab4cef86b1,32195.6400,T_GYSHT_INFO.ZJE
3b83226047804c7083fa1ad082abe45e,28055.0000,T_GYSHT_INFO.ZJE
3c282181a55d4378b9f5b23180ea5657,118855.0000,T_GYSHT_INFO.ZJE
3c418e29581e4a5cb73e2d06b9552096,67005.9000,T_GYSHT_INFO.ZJE
3d227c517b7e4078aeb63d72348983a7,27555.0000,T_GYSHT_INFO.ZJE
3e7c79a0b4294919b13da72d71fb7f91,501500.0000,T_GYSHT_INFO.ZJE
3fc4e880ffbe4a9887f443bdc897427e,600000.0000,T_GYSHT_INFO.ZJE
473a534a94e54dd79f66716590926ce3,73230.0000,T_GYSHT_INFO.ZJE
4966246761bb4a3bb4d84dcf60e8b6c5,151250.0000,T_GYSHT_INFO.ZJE
4aa6c5dddba64c03981fc84350cb8ed2,24732.0000,T_GYSHT_INFO.ZJE
4bb48f22c7ac4c7fb3cf16caa42066a4,30000.0000,T_GYSHT_INFO.ZJE
4e37332ee8ef4c5d86f4968f596778c5,62478.0000,T_GYSHT_INFO.ZJE
519475933e1d4b08b05cf47051654f32,46000.0000,T_GYSHT_INFO.ZJE
52f451f9aa4c4f8b924a0f43761f8784,300000.0000,T_GYSHT_INFO.ZJE
5329f47a10294966ba379ecc34585ee6,100000.0000,T_GYSHT_INFO.ZJE
5362565739d440c5b031c6b7bc9cbd82,72600.0000,T_GYSHT_INFO.ZJE
53721d848a324404a68df87299956f32,52870.0000,T_GYSHT_INFO.ZJE
53cdf7ed823e454aa5f1f57fe206934c,60380.0000,T_GYSHT_INFO.ZJE
552b48c63f3c41678f27c5fe0511c675,4698800.0000,T_GYSHT_INFO.ZJE
559bc9530e3640b4bf01bb946c6ba094,200000.0000,T_GYSHT_INFO.ZJE
55bfcefc8dea45ec95177182387e80c7,576771.0000,T_GYSHT_INFO.ZJE
5a5c795d4fc84b59ab5997c4ab2951e4,100000.0000,T_GYSHT_INFO.ZJE
5bbd7c3d36c7444d9cdeb8715eda9ac1,271565.0000,T_GYSHT_INFO.ZJE
5c5581b15b9543aca275f364644925c3,99000.0000,T_GYSHT_INFO.ZJE
5dc82f5c7fe041dfbb4cce7450cb3829,70000.0000,T_GYSHT_INFO.ZJE
5eb3aa74531348f59076e7222026fcc4,19239.2500,T_GYSHT_INFO.ZJE
5fb4dc2ee14e401d80cdadf75967e7ab,22000.0000,T_GYSHT_INFO.ZJE
61db629f7b7044978b6e336b7d7053d3,116500.0000,T_GYSHT_INFO.ZJE
64583a88b7d942c68b45aa86f779f30d,135220.0000,T_GYSHT_INFO.ZJE
6807b0152d76415497bf39abbd7e3825,50000.0000,T_GYSHT_INFO.ZJE
69eeaa73de1445c0950730935b7e30f1,100000.0000,T_GYSHT_INFO.ZJE
728515651e284b09b042424c4473ce18,200000.0000,T_GYSHT_INFO.ZJE
729d01d884a548f8aac21b9402f701f7,30000.0000,T_GYSHT_INFO.ZJE
